153	Kok,Nyegaard,Bøgedal,Fyhn,Berger,Karim,Egedal,Fly,Ellebæk,Aastrup,Vincent
152	Føns,Moth,Bergstrøm,Rugaard,Staugaard,Bekker,Kleis,Vase
151	Sidenius,Højsgaard,Helt,Aabo,Raabjerg
150	Nordskov,Bauer,Bie,Højriis,Soelberg,Langberg
149	Topp,Binderup,Skat,Skyum,Dandanell,Mosbæk,Finderup
148	Rossen,Schiøtt,Helstrup,Villadsen,Skau,Piil,Beier,Bøggild,Lander,Stahl
147	Huus,Bentsen,Hofmann,Steensgaard,Post,Houlberg,Garde,Simoni,Thisted,Kærsgaard
146	Als,Abildskov,Prehn,Tidemann,Daniel,Kjer,Sørup,Berggren
145	Velling,Gudmand,Morell,Bahn,Nordal,Hejlskov,Dyrholm,Starup,Stryhn
144	Læssøe,Mayland,Klausen,Hamborg,Kamstrup,Hassing,Aaberg
143	Bondo,Vindahl,Fredensborg,Faurskov
142	Hasager,Højby,Dyrlund,Klindt,Holmen,Lundgreen,Byriel,Røn,Schütt,Ettrup,Nordlund,Skovmand
141	Thorsager,Fogtmann,Blæsbjerg,Schandorff,Lemming,Kudahl,Rysgaard,Skibsted,Sode,Winkel,Fogt
140	Majlund,Franck,Boisen,Almind,Bigum,Baunsgaard,Gammelby,Teilmann,Hørdum,Vesterlund,Kamper,Stenbæk
139	Haar,Guldbrandt,Nordberg,Frølich,Urup,Kolind,Haaber,Reenberg,Nederby,Blume
138	Saltoft,Høyrup,Berthelsen,Ulstrup,Lütken,Ejsing,Willer,Grubbe
137	Krause,Dyrvig,Worsøe,Schilling,Valeur,Jespersen,Lindholt,Holberg,Hagelskjær,Højgård,Lauenborg,Sandholm,Willum,Bollerup,Nystrup,Seier,Berggreen,Youssef
136	Kaastrup,Viberg,Graae,Grundahl,Bendtsen,Skouboe,Frøslev,Danielsen,Tønning
135	Kyhl,Rom,Mathiesen,Præstegaard,Wessel,Hagedorn,Dyreborg,Hygum,Preisler,Grønnegaard,Grosen
